CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;
09266X0104/F;40100;LE FRECHE;40;AEAG;108;644;40100_FRFG070_FRFG066;439536,1743;6319492,172;FG081;FG066;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;oui;
09506X0059/S;40115;GOUSSE;40;AEAG;9;;40115_FRFG083_FRFG028;384489,2389;6305292,212;FG082;FG028;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui;
09518X0021/F1;40117;GRENADE-SUR-L'ADOUR;40;AEAG;55;7.3;40117_FRFG083_FRFG028;422597,0446;6303811,338;FG028;FG028;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;oui;oui;oui;;
09782X0021/F4;40119;HAGETMAU;40;AEAG;87;701;40119_FRFG082_FRFG044;408517,7383;6289810,259;;FG044;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09268X0213/F;40124;HERRE;40;AEAG;148,5;45;40124_FRFG070_FRFG046;458406,4802;6327487,726;FG084;FG046;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;oui;
09526X0090/F;40127;HONTANX;40;AEAG;93;50;40127_FRFG084_FRFG066;438273,3207;6305184,609;FG066;FG066;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;
09521X0064/S;40127;HONTANX;40;AEAG;75;;40127_FRFG084_FRFG066;440119,2562;6307617,977;FG066;FG066;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;
08982X0031/F2;40134;LABOUHEYRE;40;AEAG;75;171;40134_FRFG105_FRFG045;388115,0761;6358958,735;FG070;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
08996X0038/F2;40135;LABRIT;40;AEAG;87;130.5;40135_FRFG084_FRFG046;414002,2024;6343061,455;FG070;FG046;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
08996X0004/F2;40135;LABRIT;40;AEAG;80;140;40135_FRFG084_FRFG046;416479,0807;6342875,076;FG070;FG046;Hors RCS et RCO;;;;;;oui;;;;;;;;
09514X0015/F2;40139;LAGLORIEUSE;40;AEAG;84;40;40139_FRFG084_FRFG066;425779,9565;6311847,874;FG066;FG066;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;oui;oui;oui;oui;oui;oui;oui;oui;
09501X0002/F;40142;LALUQUE;40;AEAG;58;225;40142_FRFG084_FRFG046;382912,4932;6315981,184;;FG046;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09492X0030/F3;40150;LEON;40;AEAG;8,5;74.1;40150_FRFG105_FRFG045;352186,1089;6319156,888;;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09503X0015/F;40151;LESGOR;40;AEAG;40;65;40151_FRFG084_FRFG046;383487,4168;6314512,513;;FG046;Hors RCS et RCO;;;;;;;;oui;;;;;;
09245X0019/F3;40152;LESPERON;40;AEAG;81;37.5;40152_FRFG105_FRFG045;374505,9723;6326848,341;FG045;FG045;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;
09237X0034/F5;40155;LINXE;40;AEAG;33;188;40155_FRFG105_FRFG045;363510,9426;6324501,958;;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09232X0009/F2;40157;LIT-ET-MIXE;40;AEAG;9;45;40157_FRFG105_FRFG045;352692,0047;6330930,755;FG045;FG045;Hors RCS et RCO;;;;;;oui;;;;;;;;
09233X0059/F;40157;LIT-ET-MIXE;40;AEAG;9;180.5;40157_FRFG105_FRFG045;358676,0324;6335849,411;FG084;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;;
09264X0045/F;40158;LOSSE;40;AEAG;146;83;40158_FRFG084_FRFG046;451716,194;6335771,133;;FG046;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09774X0027/F2;40160;LOURQUEN;40;AEAG;31,78;133;40160_FRFG082_FRFG044;393863,8386;6299716,379;;FG044;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;;
